,Date,Actual,Predicted
116,2013-07-16,[128.91000366],[129.70042628]
117,2013-07-17,[130.83999634],[129.12459278]
118,2013-07-18,[130.80000305],[129.74503807]
119,2013-07-19,[130.36000061],[130.53732636]
120,2013-07-22,[130.30000305],[130.60298659]
121,2013-07-23,[129.47999573],[130.29352925]
122,2013-07-24,[128.42999268],[129.6628088]
123,2013-07-25,[127.55000305],[128.76618392]
124,2013-07-26,[124.48999786],[127.8415249]
125,2013-07-29,[120.25],[125.79841583]
126,2013-07-30,[122.58999634],[122.22863092]
127,2013-07-31,[121.90000153],[121.49508758]
128,2013-08-01,[126.23999786],[121.91055213]
129,2013-08-02,[134.33000183],[124.52267343]
130,2013-08-05,[129.50999451],[130.54273262]
131,2013-08-06,[129.69999695],[131.65949123]
132,2013-08-07,[127.55999756],[130.15845654]
133,2013-08-08,[128.02999878],[127.86799359]
134,2013-08-09,[127.56999969],[127.29331717]
135,2013-08-12,[128.32000732],[127.51449121]
136,2013-08-13,[130.19999695],[128.11334138]
137,2013-08-14,[129.27000427],[129.39311718]
138,2013-08-15,[127.44999695],[129.64301194]
139,2013-08-16,[128.88000488],[128.33165986]
140,2013-08-19,[128.19999695],[128.08256235]
141,2013-08-20,[126.76999664],[128.16853284]
142,2013-08-21,[122.86000061],[127.47311737]
143,2013-08-22,[124.76999664],[124.70550807]
144,2013-08-23,[127.01000214],[123.87456668]
145,2013-08-26,[125.19000244],[125.58515222]
146,2013-08-27,[124.04000092],[126.09390341]
147,2013-08-28,[123.91000366],[124.97856884]
148,2013-08-29,[123.88999939],[123.90848698]
149,2013-08-30,[120.79000092],[123.64274641]
150,2013-09-03,[124.30000305],[122.17511373]
151,2013-09-04,[125.83999634],[122.88172135]
152,2013-09-05,[125.63999939],[124.82794507]
153,2013-09-06,[125.55000305],[125.85467112]
154,2013-09-09,[126.80000305],[125.77892144]
155,2013-09-10,[127.37999725],[126.10684737]
156,2013-09-11,[127.55999756],[126.85264351]
157,2013-09-12,[125.91000366],[127.41843763]
158,2013-09-13,[126.80000305],[126.66586843]
159,2013-09-16,[127.75],[126.36969755]
160,2013-09-17,[126.77999878],[127.0518806]
161,2013-09-18,[130.92999268],[127.15871734]
162,2013-09-19,[130.19999695],[129.12859103]
163,2013-09-20,[129.44999695],[130.29304172]
164,2013-09-23,[129.77999878],[129.95811487]
165,2013-09-24,[130.55999756],[129.50509477]
166,2013-09-25,[129.8500061],[129.88554954]
167,2013-09-26,[131.97999573],[130.0111334]
168,2013-09-27,[130.25999451],[131.04333425]
169,2013-09-30,[128.02999878],[130.88515347]
170,2013-10-01,[127.31999969],[129.09657184]
171,2013-10-02,[127.66000366],[127.46288441]
172,2013-10-03,[127.75],[127.19623277]
173,2013-10-04,[128.00999451],[127.61290949]
174,2013-10-07,[125.33999634],[128.01234663]
175,2013-10-08,[123.68000031],[126.62909921]
176,2013-10-09,[128.08999634],[124.49056302]
177,2013-10-10,[131.],[125.84131174]
178,2013-10-11,[131.6499939],[129.29948919]
179,2013-10-14,[130.75],[131.60215409]
180,2013-10-15,[129.61000061],[131.43170737]
181,2013-10-16,[130.24000549],[129.95171287]
182,2013-10-17,[130.1000061],[129.5146998]
183,2013-10-18,[129.52000427],[129.81612463]
184,2013-10-21,[129.38000488],[129.79925572]
185,2013-10-22,[130.71000671],[129.49080986]
186,2013-10-23,[129.25],[129.99691244]
187,2013-10-24,[129.82000732],[129.75484137]
188,2013-10-25,[128.69000244],[129.6153948]
189,2013-10-28,[128.36999512],[129.03138592]
190,2013-10-29,[128.94999695],[128.45784115]
191,2013-10-30,[130.19999695],[128.5636876]
192,2013-10-31,[129.41999817],[129.53053354]
193,2013-11-01,[129.75999451],[129.75993007]
194,2013-11-04,[129.63000488],[129.6794709]
195,2013-11-05,[128.58999634],[129.52577694]
196,2013-11-06,[129.19999695],[128.92610613]
197,2013-11-07,[125.91999817],[128.85124124]
198,2013-11-08,[127.37000275],[127.26698123]
199,2013-11-11,[126.66999817],[126.78458776]
200,2013-11-12,[127.30000305],[126.71133565]
201,2013-11-13,[127.66000366],[127.08128162]
202,2013-11-14,[127.48000336],[127.50992724]
203,2013-11-15,[127.98000336],[127.5681958]
204,2013-11-18,[127.65000153],[127.72152015]
205,2013-11-19,[126.23999786],[127.68330519]
206,2013-11-20,[126.05000305],[126.83951541]
207,2013-11-21,[125.61000061],[126.10083707]
208,2013-11-22,[126.30999756],[125.65928765]
209,2013-11-25,[125.59999847],[125.94710784]
210,2013-11-26,[124.93000031],[125.90310574]
211,2013-11-27,[125.20999908],[125.32521708]
212,2013-11-29,[125.05000305],[125.0480406]
213,2013-12-02,[124.09999847],[125.0039415]
214,2013-12-03,[123.61000061],[124.53578863]
215,2013-12-04,[123.11000061],[123.88283412]
216,2013-12-05,[121.59999847],[123.29361127]
217,2013-12-06,[122.73999786],[122.27348447]
218,2013-12-09,[122.43000031],[122.26707018]
219,2013-12-10,[121.69999695],[122.47001672]
220,2013-12-11,[120.33999634],[122.1566132]
221,2013-12-12,[120.33999634],[121.06841438]
222,2013-12-13,[119.22000122],[120.35987065]
223,2013-12-16,[118.65000153],[119.6583852]
224,2013-12-17,[118.62999725],[119.02084987]
225,2013-12-18,[121.04000092],[118.71838937]
226,2013-12-19,[118.70999908],[119.93197054]
227,2013-12-20,[118.75],[119.73534558]
228,2013-12-23,[119.26999664],[119.05867953]
229,2013-12-24,[118.61000061],[118.94483478]
230,2013-12-26,[121.69000244],[118.81635837]
231,2013-12-27,[121.87999725],[120.31934689]
232,2013-12-30,[121.36000061],[121.62873439]
233,2013-12-31,[121.91999817],[121.75954852]
234,2014-01-02,[120.62999725],[121.70079624]
235,2014-01-03,[120.51000214],[121.0544958]
236,2014-01-06,[120.16999817],[120.55902214]
237,2014-01-07,[120.45999908],[120.26106638]
238,2014-01-08,[119.84999847],[120.34163314]
239,2014-01-09,[120.33000183],[120.15703482]
240,2014-01-10,[120.80999756],[120.19479182]
241,2014-01-13,[119.40000153],[120.5492244]
242,2014-01-14,[119.45999908],[120.06376093]
243,2014-01-15,[119.47000122],[119.56067371]
244,2014-01-16,[119.83000183],[119.3960991]
245,2014-01-17,[119.19000244],[119.64355575]
246,2014-01-21,[120.45999908],[119.52422741]
247,2014-01-22,[121.69000244],[119.96473714]
248,2014-01-23,[119.36000061],[121.01552571]
249,2014-01-24,[117.87999725],[120.44177734]
250,2014-01-27,[117.02999878],[118.79469222]
251,2014-01-28,[117.83000183],[117.38017439]
252,2014-01-29,[117.19999695],[117.36618208]
253,2014-01-30,[117.16000366],[117.48279096]
254,2014-01-31,[114.76000214],[117.42222408]
255,2014-02-03,[112.75],[116.0375675]
256,2014-02-04,[112.48999786],[113.94559087]
257,2014-02-05,[115.66000366],[112.73523872]
258,2014-02-06,[115.95999908],[114.13300693]
259,2014-02-07,[117.37999725],[115.69648897]
260,2014-02-10,[117.04000092],[116.99442548]
261,2014-02-11,[117.91000366],[117.25967381]
262,2014-02-12,[117.55999756],[117.52622847]
263,2014-02-13,[116.15000153],[117.57451865]
264,2014-02-14,[115.16999817],[116.83276178]
265,2014-02-18,[116.27999878],[115.74852006]
266,2014-02-19,[115.22000122],[115.7800609]
267,2014-02-20,[115.33000183],[115.65230928]
268,2014-02-21,[116.33999634],[115.51391486]
269,2014-02-24,[116.16999817],[115.93866049]
270,2014-02-25,[116.47000122],[116.23316493]
271,2014-02-26,[115.58000183],[116.4406342]
272,2014-02-27,[116.01999664],[116.0468127]
273,2014-02-28,[115.30000305],[115.91009571]
274,2014-03-03,[113.59999847],[115.61071341]
275,2014-03-04,[115.20999908],[114.54319449]
276,2014-03-05,[113.26000214],[114.62839332]
277,2014-03-06,[114.65000153],[114.09741734]
278,2014-03-07,[113.95999908],[114.29107203]
279,2014-03-10,[113.33999634],[114.26745916]
280,2014-03-11,[112.45999908],[113.8324838]
281,2014-03-12,[111.30000305],[113.04669232]
282,2014-03-13,[110.20999908],[112.01538242]
283,2014-03-14,[108.76000214],[110.94052948]
284,2014-03-17,[110.66999817],[109.71635137]
285,2014-03-18,[109.83000183],[110.03908323]
286,2014-03-19,[108.68000031],[110.24459596]
287,2014-03-20,[107.61000061],[109.63603184]
288,2014-03-21,[107.37000275],[108.52607259]
289,2014-03-24,[107.94000244],[107.77621143]
290,2014-03-25,[108.45999908],[107.85202876]
291,2014-03-26,[110.52999878],[108.37305627]
292,2014-03-27,[111.58000183],[109.70581124]
293,2014-03-28,[112.83000183],[111.06383882]
294,2014-03-31,[112.90000153],[112.29471209]
295,2014-04-01,[113.22000122],[112.8695881]
296,2014-04-02,[113.44000244],[113.12125036]
297,2014-04-03,[112.86000061],[113.31303352]
298,2014-04-04,[111.26000214],[113.14387714]
299,2014-04-07,[111.38999939],[112.16293386]
300,2014-04-08,[109.09999847],[111.54419453]
301,2014-04-09,[107.73000336],[110.28350694]
302,2014-04-10,[103.38999939],[108.80300519]
303,2014-04-11,[104.88999939],[105.92153285]
304,2014-04-14,[107.31999969],[104.89218517]
305,2014-04-15,[106.86000061],[106.1649994]
306,2014-04-16,[108.47000122],[107.15918817]
307,2014-04-17,[108.01999664],[108.17225158]
308,2014-04-21,[108.63999939],[108.39519579]
309,2014-04-22,[108.41999817],[108.5761081]
310,2014-04-23,[108.15000153],[108.59828657]
311,2014-04-24,[107.04000092],[108.46027974]
312,2014-04-25,[106.48999786],[107.8180487]
313,2014-04-28,[107.06999969],[107.10406185]
314,2014-04-29,[107.5],[107.05261641]
315,2014-04-30,[108.41999817],[107.44546516]
316,2014-05-01,[109.73000336],[108.17695697]
317,2014-05-02,[109.93000031],[109.22802628]
318,2014-05-05,[109.44000244],[109.90440146]
319,2014-05-06,[109.],[109.85535218]
320,2014-05-07,[109.02999878],[109.41479654]
321,2014-05-08,[108.15000153],[109.16181264]
322,2014-05-09,[108.87000275],[108.71259468]
323,2014-05-12,[109.20999908],[108.79129194]
