,Date,Actual,Predicted
116,2013-07-16,[36.18000031],[36.49371678]
117,2013-07-17,[36.36000061],[36.27922443]
118,2013-07-18,[36.84000015],[36.27098285]
119,2013-07-19,[36.61000061],[36.66687058]
120,2013-07-22,[36.75999832],[36.72579244]
121,2013-07-23,[36.61000061],[36.7102422]
122,2013-07-24,[37.13999939],[36.63077694]
123,2013-07-25,[37.08000183],[36.94050301]
124,2013-07-26,[36.66999817],[37.10943443]
125,2013-07-29,[36.38000107],[36.81826382]
126,2013-07-30,[36.5],[36.43135344]
127,2013-07-31,[35.86999893],[36.40716316]
128,2013-08-01,[36.47000122],[36.08481143]
129,2013-08-02,[36.95000076],[36.24224191]
130,2013-08-05,[36.75],[36.76351377]
131,2013-08-06,[35.95999908],[36.85251738]
132,2013-08-07,[35.47999954],[36.21958664]
133,2013-08-08,[36.00999832],[35.5646612]
134,2013-08-09,[36.02000046],[35.76080391]
135,2013-08-12,[35.97999954],[36.03910624]
136,2013-08-13,[35.84000015],[36.0295627]
137,2013-08-14,[35.56999969],[35.85954262]
138,2013-08-15,[34.54999924],[35.62574342]
139,2013-08-16,[34.38000107],[34.88550238]
140,2013-08-19,[34.49000168],[34.39768345]
141,2013-08-20,[34.79000092],[34.41550047]
142,2013-08-21,[34.52999878],[34.70641838]
143,2013-08-22,[34.99000168],[34.65257366]
144,2013-08-23,[35.06000137],[34.81817457]
145,2013-08-26,[34.91999817],[35.01947482]
146,2013-08-27,[33.68999863],[34.98766421]
147,2013-08-28,[33.91999817],[34.12285016]
148,2013-08-29,[34.45000076],[33.79107748]
149,2013-08-30,[34.08000183],[34.2325317]
150,2013-09-03,[34.13999939],[34.27949543]
151,2013-09-04,[35.84999847],[34.15024966]
152,2013-09-05,[36.33000183],[35.20265981]
153,2013-09-06,[36.15000153],[36.20041898]
154,2013-09-09,[36.47999954],[36.29836049]
155,2013-09-10,[37.],[36.33206816]
156,2013-09-11,[36.34999847],[36.77854335]
157,2013-09-12,[36.36999893],[36.6159002]
158,2013-09-13,[36.06000137],[36.36310088]
159,2013-09-16,[36.22000122],[36.12291977]
160,2013-09-17,[36.70999908],[36.15390076]
161,2013-09-18,[37.58000183],[36.541435]
162,2013-09-19,[37.22999954],[37.29751888]
163,2013-09-20,[36.83000183],[37.38727793]
164,2013-09-23,[37.13000107],[36.95051704]
165,2013-09-24,[37.43999863],[36.94800428]
166,2013-09-25,[37.18000031],[37.31579582]
167,2013-09-26,[36.95000076],[37.30540235]
168,2013-09-27,[36.36999893],[37.01174128]
169,2013-09-30,[35.97000122],[36.51067869]
170,2013-10-01,[35.90999985],[36.05754642]
171,2013-10-02,[35.93999863],[35.8925043]
172,2013-10-03,[35.29000092],[35.91663802]
173,2013-10-04,[35.70000076],[35.51661167]
174,2013-10-07,[35.18000031],[35.51865866]
175,2013-10-08,[34.20999908],[35.33461201]
176,2013-10-09,[34.15999985],[34.55178103]
177,2013-10-10,[34.84999847],[34.12029491]
178,2013-10-11,[35.34999847],[34.56624475]
179,2013-10-14,[35.33000183],[35.21633857]
180,2013-10-15,[34.70000076],[35.38890243]
181,2013-10-16,[35.13000107],[34.9096668]
182,2013-10-17,[35.65999985],[34.92035353]
183,2013-10-18,[35.88999939],[35.4579791]
184,2013-10-21,[35.5],[35.86583439]
185,2013-10-22,[35.40999985],[35.66491337]
186,2013-10-23,[35.04999924],[35.40565557]
187,2013-10-24,[35.63000107],[35.14043128]
188,2013-10-25,[35.59000015],[35.42198831]
189,2013-10-28,[35.79999924],[35.62491666]
190,2013-10-29,[36.06000137],[35.75051103]
191,2013-10-30,[37.22999954],[35.95508832]
192,2013-10-31,[36.95000076],[36.81625771]
193,2013-11-01,[37.38999939],[37.09170709]
194,2013-11-04,[37.47000122],[37.25247248]
195,2013-11-05,[37.09000015],[37.40535878]
196,2013-11-06,[36.59000015],[37.22124905]
197,2013-11-07,[35.91999817],[36.74017219]
198,2013-11-08,[36.65999985],[36.09979859]
199,2013-11-11,[36.68000031],[36.35229348]
200,2013-11-12,[36.65999985],[36.68587138]
201,2013-11-13,[38.43999863],[36.70300751]
202,2013-11-14,[38.5],[37.78456276]
203,2013-11-15,[38.77000046],[38.51170003]
204,2013-11-18,[38.56999969],[38.72685812]
205,2013-11-19,[38.00999832],[38.5887725]
206,2013-11-20,[37.68999863],[38.14952618]
